site,campus,site_name_old,site_name_for_figures,latitude_originalfromVRG,longitude_originalfromVRG,latitude,longitude,site_campus_unique_ID,latitude_old,longitude_old,mpa_group,mpa_type,site_status,secondary_mpa,secondary_status,MLPA_longterm_in_proposal,STATE,mlpa_region,LongTermRegion,analysis_region_2,subregion,MXSRVYDPT_,YEAR_MPA,MPAAreaNM2,MPAShoreNM,CDIP_MOP,time_series_category,NOTES,survey_1999,survey_2000,survey_2001,survey_2002,survey_2003,survey_2004,survey_2005,survey_2006,survey_2007,survey_2008,survey_2009,survey_2010,survey_2011,survey_2012,survey_2013,survey_2014,survey_2015,survey_2016,survey_2017,survey_2018,survey_2019,survey_2020,survey_2021,survey_2022,survey_2023,SurveyYears
DEL_MAR_MPA_2,UCSC,,Del Mar MPA 2,,,38.73729,-123.51281,DEL_MAR_MPA_2 UCSC,,,Del Mar Landing SMR,SMR,mpa,,,NO,CALIFORNIA,NCENTRAL,North Coast,North Coast,Del Mar,20.1,2010,0,0,SN490,,,,,,,,,,,,,,"f,c,s,u,z","f,c,s,u,z",,,,,,,,,,,,,2
DEL_MAR_REFERENCE_1,UCSC,,Del Mar Reference 1,,,38.72604,-123.49116,DEL_MAR_REFERENCE_1 UCSC,,,Del Mar Landing SMR,SMR,reference,,,NO,CALIFORNIA,NCENTRAL,North Coast,North Coast,Del Mar,19.9,0,0,0,SN475,,,,,,,,,,,,,,"f,c,s,u,z","f,c,s,u,z",,,,,,,,,,,,,2
DEL_MAR_REFERENCE_2,HSU,,Del Mar Reference 2,,,38.71638,-123.46883,DEL_MAR_REFERENCE_2 HSU,,,Stewarts Point SMR,SMR,reference,Del Mar Landing SMR,reference,YES,CALIFORNIA,NCENTRAL,North Coast,North Coast,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,0
DEL_MAR_REFERENCE_2,UCSC,,Del Mar Reference 2,,,38.71557,-123.4698,DEL_MAR_REFERENCE_2 UCSC,,,Stewarts Point SMR,SMR,reference,Del Mar Landing SMR,reference,YES,CALIFORNIA,NCENTRAL,North Coast,North Coast,Del Mar,19,0,0,0,SN462,2,,,,,,,,,,,,,"f,c,s,u,z","f,c,s,u,z",,,,,,"f, ,s,u,","f, ,s,u,","f, ,s,u,",,,,,5
DEL_MAR_REFERENCE_3,HSU,,Del Mar Reference 3,,,38.70397,-123.4554,DEL_MAR_REFERENCE_3 HSU,,,Stewarts Point SMR,SMR,reference,Del Mar Landing SMR,reference,YES,CALIFORNIA,NCENTRAL,North Coast,North Coast,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,0
DEL_MAR_REFERENCE_3,UCSC,,Del Mar Reference 3,,,38.70378,-123.4564,DEL_MAR_REFERENCE_3 UCSC,,,Stewarts Point SMR,SMR,reference,Del Mar Landing SMR,reference,YES,CALIFORNIA,NCENTRAL,North Coast,North Coast,Del Mar,20.1,0,0,0,SN450,2,ETS-Location changed based on mapping,,,,,,,,,,,,"f,c,s,u,z","f,c,s,u,z",,,,,,"f, ,s,u,","f, ,s,u,","f, ,s,u,",,,,,5
DEL_MAR_REFERENCE_4,UCSC,,Del Mar Reference 4,,,38.69138,-123.4436,DEL_MAR_REFERENCE_4 UCSC,,,Del Mar Landing SMR,SMR,reference,,,NO,CALIFORNIA,NCENTRAL,North Coast,North Coast,Del Mar,20.1,0,0,0,SN436,,,,,,,,,,,,,,"f,c,s,u,z","f,c,s,u,z",,,,,,,,,,,,,2
Pebble Beach,RCCA,,Pebble Beach,,,38.6912,-123.442,Pebble Beach RCCA,,,Stewarts Point SMR,SMR,reference,,,NO,CALIFORNIA,NORTH,North Coast,North Coast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
STEWARTS_POINT_MPA_1,HSU,STEWARTS_POINT_1,Stewarts Point MPA 1,,,38.6668,-123.42064,STEWARTS_POINT_MPA_1 HSU,,,Stewarts Point SMR,SMR,mpa,,,YES,CALIFORNIA,NCENTRAL,North Coast,North Coast,Stewarts Pt.,22,2010,0,0,SN407,2,,,,,,,,,,,,,,,,,,,,,,,,,,,0
STEWARTS_POINT_MPA_1,UCSC,,Stewarts Point MPA 1,,,38.6668,-123.42064,STEWARTS_POINT_MPA_1 UCSC,,,Stewarts Point SMR,SMR,mpa,,,YES,CALIFORNIA,NCENTRAL,North Coast,North Coast,Stewarts Pt.,22,2010,0,0,SN407,2,,,,,,,,,,,,,"f,c,s,u,z","f,c,s,u,z",,,,,,"f, ,s,u,","f, ,s,u,","f, ,s,u,",,,,,5
STEWARTS_POINT_MPA_2,HSU,STEWARTS_POINT_2,Stewarts Point MPA 2,,,38.65073,-123.40953,STEWARTS_POINT_MPA_2 HSU,,,Stewarts Point SMR,SMR,mpa,Stewarts Point SMCA,mpa,YES,CALIFORNIA,NCENTRAL,North Coast,North Coast,Stewarts Pt.,20.9,2010,0,0,SN395,2,Actually located within Stewarts Point SMCA which is a de facto SMR so we treat this as Stewarts Point SMR,,,,,,,,,,,,,,,,,,,,,,,,,,0
STEWARTS_POINT_MPA_2,UCSC,,Stewarts Point MPA 2,,,38.65073,-123.40953,STEWARTS_POINT_MPA_2 UCSC,,,Stewarts Point SMR,SMR,mpa,Stewarts Point SMCA,mpa,YES,CALIFORNIA,NCENTRAL,North Coast,North Coast,Stewarts Pt.,20.9,2010,0,0,SN395,2,Actually located within Stewarts Point SMCA which is a de facto SMR so we treat this as Stewarts Point SMR,,,,,,,,,,,,"f,c,s,u,z","f,c,s,u,z",,,,,,"f, ,s,u,","f, ,s,u,","f, ,s,u,",,,,,5
STEWARTS_POINT_MPA_3,HSU,STEWARTS_POINT_3,Stewarts Point MPA 3,,,38.61415,-123.37745,STEWARTS_POINT_MPA_3 HSU,,,Stewarts Point SMR,SMR,mpa,Stewarts Point SMCA,mpa,YES,CALIFORNIA,NCENTRAL,North Coast,North Coast,Stewarts Pt.,20.7,2010,0,0,SN357,2,Actually located within Stewarts Point SMCA which is a de facto SMR so we treat this as Stewarts Point SMR,,,,,,,,,,,,,,,,,,,,,"f, ,s,u,",,,,,1
STEWARTS_POINT_MPA_3,UCSC,,Stewarts Point MPA 3,,,38.61415,-123.37745,STEWARTS_POINT_MPA_3 UCSC,,,Stewarts Point SMR,SMR,mpa,Stewarts Point SMCA,mpa,YES,CALIFORNIA,NCENTRAL,North Coast,North Coast,Stewarts Pt.,20.7,2010,0,0,SN357,2,Actually located within Stewarts Point SMCA which is a de facto SMR so we treat this as Stewarts Point SMR,,,,,,,,,,,,"f,c,s,u,z","f,c,s,u,z",,,,,,"f, ,s,u,","f, ,s,u,",,,,,,4
STEWARTS_POINT_MPA_4,HSU,STEWARTS_POINT_4,Stewarts Point MPA 4,,,38.59765,-123.36371,STEWARTS_POINT_MPA_4 HSU,,,Stewarts Point SMR,SMR,mpa,,,YES,CALIFORNIA,NCENTRAL,North Coast,North Coast,Stewarts Pt.,20.7,2010,0,0,SN339,2,,,,,,,,,,,,,,,,,,,,,,"f, ,s,u,",,,,,1
STEWARTS_POINT_MPA_4,UCSC,,Stewarts Point MPA 4,,,38.59765,-123.36371,STEWARTS_POINT_MPA_4 UCSC,,,Stewarts Point SMR,SMR,mpa,,,YES,CALIFORNIA,NCENTRAL,North Coast,North Coast,Stewarts Pt.,20.7,2010,0,0,SN339,2,,,,,,,,,,,,,"f,c,s,u,z","f,c,s,u,z",,,,,,"f, ,s,u,","f, ,s,u,",,,,,,4
SALT_POINT_MPA_1,HSU,,Salt Point MPA 1,,,38.58623,-123.34668,SALT_POINT_MPA_1 HSU,,,Salt Point SMCA,SMCA,mpa,,,NO,CALIFORNIA,NCENTRAL,North Coast,North Coast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
SALT_POINT_MPA_1,UCSC,,Salt Point MPA 1,,,38.58623,-123.34668,SALT_POINT_MPA_1 UCSC,,,Salt Point SMCA,SMCA,mpa,,,NO,CALIFORNIA,NCENTRAL,North Coast,North Coast,Salt Pt.,20.7,2010,0,0,SN325,,,,,,,,,,,,,,"f,c,s,u,z","f,c,s,u,z",,,,,,,,,,,,,2
SALT_POINT_MPA_2,HSU,,Salt Point MPA 2,,,38.57217,-123.34266,SALT_POINT_MPA_2 HSU,,,Salt Point SMCA,SMCA,mpa,,,NO,CALIFORNIA,NCENTRAL,North Coast,North Coast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
SALT_POINT_MPA_2,UCSC,,Salt Point MPA 2,,,38.57217,-123.34266,SALT_POINT_MPA_2 UCSC,,,Salt Point SMCA,SMCA,mpa,,,NO,CALIFORNIA,NCENTRAL,North Coast,North Coast,Salt Pt.,19.8,2010,0,0,SN311,,,,,,,,,,,,,,"f,c,s,u,","f,c,s,u,z",,,,,,,,,,,,,2
Gerstle Cove,RCCA,,Gerstle Cove,,,38.5665,-123.33,Gerstle Cove RCCA,,,Gerstle Cove SMR,SMR,mpa,,,YES,CALIFORNIA,NORTH,North Coast,North Coast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Salt Point,RCCA,South Gerstle,Salt Point,,,38.564899,-123.329002,Salt Point RCCA,,,Salt Point SMCA,SMCA,mpa,,,,CALIFORNIA,NCENTRAL,North Coast,North Coast,,,,,,,,"RCCA originally named this site South Gerstle, but changed it to Salt Point",,,,,,,,,,,,,,,,,,,,,,,,,,0
SALT_POINT_MPA_3,HSU,,Salt Point MPA 3,,,38.56274,-123.32922,SALT_POINT_MPA_3 HSU,,,Salt Point SMCA,SMCA,mpa,,,NO,CALIFORNIA,NCENTRAL,North Coast,North Coast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
SALT_POINT_MPA_3,UCSC,,Salt Point MPA 3,,,38.56274,-123.32922,SALT_POINT_MPA_3 UCSC,,,Salt Point SMCA,SMCA,mpa,,,NO,CALIFORNIA,NCENTRAL,North Coast,North Coast,Salt Pt.,20.3,2010,0,0,SN301,,,,,,,,,,,,,,"f,c,s,u,z","f,c,s,u,z",,,,,,,,,,,,,2
Ocean Cove,RCCA,Ocean Cove Kelper,Ocean Cove,,,38.5551,-123.306,Ocean Cove RCCA,,,Stewarts Point SMR,SMR,reference,reference,,YES,CALIFORNIA,NORTH,North Coast,North Coast,,,,,,,,ETS-(Re)added 6/21 based on site notes from RCCA,,,,,,,,,,,,,,,,,,,,,,,,,,0
Ocean Cove Kelper,RCCA,Ocean Cove Kelper,Ocean Cove,,,38.5551,-123.306,Ocean Cove RCCA,,,Stewarts Point SMR,SMR,reference,reference,,YES,CALIFORNIA,NORTH,North Coast,North Coast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
SALT_POINT_REFERENCE_5,HSU,SALT_POINT_MPA_4,Salt Point Reference 5,,,38.55381,-123.30908,SALT_POINT_REFERENCE_5 HSU,,,Stewarts Point SMR,SMR,reference,Salt Point SMCA,reference,YES,CALIFORNIA,NCENTRAL,North Coast,North Coast,Salt Pt.,20.5,2010,0,0,SN288,2,,,,,,,,,,,,,,,,,,,,,,,,,,,0
SALT_POINT_REFERENCE_5,UCSC,SALT_POINT_MPA_4,Salt Point Reference 5,,,38.55381,-123.30908,SALT_POINT_REFERENCE_5 UCSC,,,Stewarts Point SMR,SMR,reference,Salt Point SMCA,reference,YES,CALIFORNIA,NCENTRAL,North Coast,North Coast,Salt Pt.,20.5,2010,0,0,SN288,2,,,,,,,,,,,,,"f, ,s,u,z","f,c,s,u,z",,,,,,"f, ,s,u,","f, ,s,u,",,,,,,4
Stillwater Cove Sonoma,RCCA,Stillwater Sonoma,Stillwater Sonoma,,,38.5459,-123.2999,Stillwater Cove Sonoma RCCA,,,Stewarts Point SMR,SMR,reference,,,YES,CALIFORNIA,NORTH,North Coast,North Coast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
SALT_POINT_REFERENCE_1,HSU,,Salt Point Reference 1,,,38.53724,-123.28933,SALT_POINT_REFERENCE_1 HSU,,,Stewarts Point SMR,SMR,reference,Salt Point SMCA,reference,YES,CALIFORNIA,NCENTRAL,North Coast,North Coast,Salt Pt.,21,0,0,0,SN270,2,,,,,,,,,,,,,,,,,,,,,,,,,,,0
SALT_POINT_REFERENCE_1,UCSC,,Salt Point Reference 1,,,38.53724,-123.28933,SALT_POINT_REFERENCE_1 UCSC,,,Stewarts Point SMR,SMR,reference,Salt Point SMCA,reference,YES,CALIFORNIA,NCENTRAL,North Coast,North Coast,Salt Pt.,21,0,0,0,SN270,2,,,,,,,,,,,,,"f,c, , ,","f,c,s,u,z",,,,,,"f, ,s,u,","f, ,s,u,",,,,,,4
Timber Cove,RCCA,,Timber Cove,,,38.5306,-123.2766,Timber Cove RCCA,,,Salt Point SMCA,SMCA,reference,,,NO,CALIFORNIA,NORTH,North Coast,North Coast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
SALT_POINT_REFERENCE_2,UCSC,,Salt Point Reference 2,,,38.52177,-123.27335,SALT_POINT_REFERENCE_2 UCSC,,,Salt Point SMCA,SMCA,reference,,,NO,CALIFORNIA,NCENTRAL,North Coast,North Coast,Salt Pt.,21.3,0,0,0,SN252,,,,,,,,,,,,,,"f,c,s,u,","f,c,s,u,z",,,,,,,,,,,,,2
Ft Ross,RCCA,,Ft Ross,,,38.5106,-123.245,Ft Ross RCCA,,,Salt Point SMCA,SMCA,reference,,,NO,CALIFORNIA,NORTH,North Coast,North Coast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
SALT_POINT_REFERENCE_3,UCSC,,Salt Point Reference 3,,,38.50151,-123.23712,SALT_POINT_REFERENCE_3 UCSC,,,Salt Point SMCA,SMCA,reference,,,NO,CALIFORNIA,NCENTRAL,North Coast,North Coast,Salt Pt.,20.4,0,0,0,SN223,,,,,,,,,,,,,,"f,c,s,u,z","f,c,s,u,z",,,,,,,,,,,,,2
SALT_POINT_REFERENCE_4,UCSC,,Salt Point Reference 4,,,38.4871,-123.21817,SALT_POINT_REFERENCE_4 UCSC,,,Salt Point SMCA,SMCA,reference,,,NO,CALIFORNIA,NCENTRAL,North Coast,North Coast,Salt Pt.,17.7,0,0,0,SN213,,,,,,,,,,,,,,"f,c,s,u,z","f,c,s,u,z",,,,,,,,,,,,,2
Beach Street,RCCA,,Beach Street,,,37.5244,-122.5258,Beach Street RCCA,,,Montara SMR,SMR,mpa,,,YES,CALIFORNIA,CENTRAL,Central Coast,North Coast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Flat Rock,RCCA,,Flat Rock,,,37.51,-122.5156,Flat Rock RCCA,,,Montara SMR,SMR,mpa,,,YES,CALIFORNIA,CENTRAL,Central Coast,North Coast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Half Moon Reef,RCCA,,Half Moon Reef,,,37.4863,-122.4904,Half Moon Reef RCCA,,,Montara SMR,SMR,reference,,,YES,CALIFORNIA,CENTRAL,Central Coast,North Coast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Hurricane Ridge,RCCA,Southeast Reef,Hurricane Ridge,,,37.4701,-122.4796,Hurricane Ridge,,,Montara SMR,SMR,reference,,,,CALIFORNIA,NCENTRAL,North Coast,North Coast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
SANDHILL_UC,UCSC,SANDHILL_BLUFF_UC,Sandhill UC,,,36.974306,-122.152109,SANDHILL_UC UCSC,,,Natural Bridges SMR,SMR,reference,,,NO,CALIFORNIA,CENTRAL,Central Coast,Central Coast,Santa Cruz,13,0,0,0,SC220,,,"f,c,s,u,","f,c,s,u,","f,c,s,u,","f,c,s,u,","f,c,s,u,z","f,c,s,u,","f,c,s,u,","f,c,s,u,","f,c,s,u,z","f,c,s,u,z","f,c,s,u,","f,c,s,u,z","f,c,s,u,",,,,,,,,,,,,,13
SANDHILL_DC,UCSC,SANDHILL_BLUFF_DC,Sandhill DC,,,36.97293,-122.149429,SANDHILL_DC UCSC,,,Natural Bridges SMR,SMR,reference,,,NO,CALIFORNIA,CENTRAL,Central Coast,Central Coast,Santa Cruz,14,0,0,0,SC219,,,"f,c,s,u,","f,c,s,u,","f,c,s,u,","f,c,s,u,","f, ,s,u,z","f,c,s,u,z","f,c,s,u,","f,c,s,u,","f,c,s,u,z","f,c,s,u,z","f,c,s,u,","f,c,s,u,z","f,c,s,u,",,,,,,,,,,,,,13
THREE_MILE,UCSC,,Three Mile,,,36.957757,-122.120067,THREE_MILE UCSC,,,Natural Bridges SMR,SMR,mpa,,,NO,CALIFORNIA,CENTRAL,Central Coast,Central Coast,Santa Cruz,12.2,2007,0,0,SC199,,"ETS-Name change, misspelled as ""thee mile""",,,,,,,,,", ,s,u,z","f, ,s,u,z",,,,,,,,,,,,,,,,2
Saber Jets,RCCA,,Saber Jets,,,36.948582,-122.03447,Saber Jets RCCA,,,,,,,,,CALIFORNIA,CENTRAL,Central Coast,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
SABER_JETS,UCSC,,Saber Jets,,,36.948018,-122.034035,SABER_JETS UCSC,,,Natural Bridges SMR,SMR,reference,,,NO,CALIFORNIA,CENTRAL,Central Coast,Central Coast,Santa Cruz,9.5,0,0,0,SC153,,,,,,,,,,,", ,s,u,z","f, ,s,u,z",,,,,,,,,,,,,,,,2
SPROUTS,UCSC,,Sprouts,,,36.946942,-122.073159,SPROUTS UCSC,,,Natural Bridges SMR,SMR,mpa,,,NO,CALIFORNIA,CENTRAL,Central Coast,Central Coast,Santa Cruz,8.5,2007,0,0,SC173,,,,,,,,,,,", ,s,u,z","f, ,s,u,z",,,,,,,,,,,,,,,,2
STOCKTON,UCSC,,Stockton,,,36.946228,-122.05001,STOCKTON UCSC,,,Natural Bridges SMR,SMR,reference,,,NO,CALIFORNIA,CENTRAL,Central Coast,Central Coast,Santa Cruz,9.4,0,0,0,SC162,,,,,,,,,,,", ,s,u,z","f, ,s,u,z",,,,,,,,,,,,,,,,2
Terrace,RCCA,,Terrace,,,36.945915,-122.064796,Terrace RCCA,,,Natural Bridges SMR,SMR,mpa,,,,CALIFORNIA,CENTRAL,Central Coast,Central Coast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
TERRACE_UC,UCSC,,Terrace UC,,,36.944908,-122.066281,TERRACE_UC UCSC,,,Natural Bridges SMR,SMR,mpa,,,NO,CALIFORNIA,CENTRAL,Central Coast,Central Coast,Santa Cruz,10.7,2007,0,0,SC170,,,,"f,c,s,u,","f,c,s,u,","f,c,s,u,","f, ,s,u,z","f,c,s,u,z","f,c,s,u,","f,c,s,u,",",c,s,u,z","f,c,s,u,z","f,c,s,u,z",", ,s,u,","f,c,s,u,",,,,", ,s,u,",,,,,,,,,13
TERRACE_DC,UCSC,,Terrace DC,,,36.944871,-122.064289,TERRACE_DC UCSC,,,Natural Bridges SMR,SMR,mpa,,,NO,CALIFORNIA,CENTRAL,Central Coast,Central Coast,Santa Cruz,13.7,2007,0,0,SC169,,,,"f,c,s,u,","f,c,s,u,","f,c,s,u,","f, ,s,u,","f,c,s,u,z","f,c,s,u,","f,c,s,u,","f,c,s,u,z","f,c,s,u,z","f,c,s,u,z","f,c,s,u,z","f,c,s,u,",,,,", ,s,u,",,,,,,,,,13
PINOS,UCSC,PT_PINOS,Pinos,,,36.640454,-121.928734,PINOS UCSC,,,Lovers Point - Julia Platt SMR,SMR,reference,Pacific Grove Marine Gardens SMCA,mpa,YES,CALIFORNIA,CENTRAL,Central Coast,Central Coast,Cannery Row,20,2007,0,0,MO732,1,,,,,,,,,,"f, ,s,u,z","f, ,s,u,z",,,"f,c,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,",15
Coral St Lucus Pt,RCCA,Coral Street,Coral Street,,,36.63785991,-121.9256961,Coral St Lucus Pt RCCA,,,Pacific Grove Marine Gardens SMCA,SMCA,mpa,,,YES,CALIFORNIA,CENTRAL,Central Coast,Central Coast,,,,,,,,ETS-Location changed based on mapping,,,,,,,,,,,,,,,,,,,,,,,,,,0
ASILOMAR_UC,UCSC,,Asilomar UC,,,36.636512,-121.945589,ASILOMAR_UC UCSC,,,Asilomar SMR,SMR,mpa,,,NO,CALIFORNIA,CENTRAL,Central Coast,Central Coast,Asilomar,20.1,2007,0,0,MO727,,,,,,,,,,,"f, ,s,u,z","f, ,s,u,z",,,"f,c,s,u,",,,,,,,,,,,,,3
OTTER_PT_DC,UCSC,,Otter Point DC,,,36.636484,-121.921162,OTTER_PT_DC UCSC,,,Lovers Point - Julia Platt SMR,SMR,reference,Pacific Grove Marine Gardens SMCA,mpa,YES,CALIFORNIA,CENTRAL,Central Coast,Central Coast,Cannery Row,16.2,2007,0,0,MO736,1,,,,,,,,,"f,c,s,u,","f,c,s,u,z","f,c,s,u,z",,,"f,c,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f,c,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,",16
Otter Cove,RCCA,,Otter Cove,,,36.6349,-121.92,Otter Cove RCCA,,,Pacific Grove Marine Gardens SMCA,SMCA,mpa,,,YES,CALIFORNIA,NORTH,North Coast,Central Coast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
OTTER_PT_UC,UCSC,,Otter Point UC,,,36.634633,-121.918929,OTTER_PT_UC UCSC,,,Lovers Point - Julia Platt SMR,SMR,reference,Pacific Grove Marine Gardens SMCA,mpa,YES,CALIFORNIA,CENTRAL,Central Coast,Central Coast,Cannery Row,16.5,2007,0,0,MO737,1,,,,,,,,,"f,c,s,u,","f,c,s,u,z","f,c,s,u,z",,,"f,c,s,u,","f, ,s,u,","f, ,s,u,","f,c,s,u,","f,c,s,u,",", ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,",16
Asilomar,RCCA,,Asilomar,,,36.634555,-121.946262,Asilomar RCCA,,,Asilomar SMR,SMR,mpa,,,NO,CALIFORNIA,CENTRAL,Central Coast,Central Coast,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,0
ASILOMAR_DC,UCSC,,Asilomar DC,,,36.632245,-121.946677,ASILOMAR_DC UCSC,,,Asilomar SMR,SMR,mpa,,,NO,CALIFORNIA,CENTRAL,Central Coast,Central Coast,Asilomar,20.7,2007,0,0,MO726,,,,,,,,,,,"f, ,s,u,z","f, ,s,u,z",,,"f,c,s,u,",,,,,,,,,,,,,3
SIREN,UCSC,PGMG,Siren,,,36.630733,-121.91859,SIREN UCSC,,,Lovers Point - Julia Platt SMR,SMR,reference,Pacific Grove Marine Gardens SMCA,mpa,YES,CALIFORNIA,CENTRAL,Central Coast,Central Coast,Cannery Row,14.2,2007,0,0,MO738,1,,,,,,,,,,"f, ,s,u,z","f, ,s,u,z",,,"f,c,s,u,","f, ,s,u,","f, ,s,u,","f,c,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f,c,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,",15
Lover's 3,RCCA,Lovers 3,Lover's 3,,,36.6285,-121.9182,Lover's 3 RCCA,,,Pacific Grove Marine Gardens SMCA,SMCA,mpa,,,YES,CALIFORNIA,CENTRAL,Central Coast,Central Coast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
LOVERS_DC,UCSC,,Lovers DC,,,36.625774,-121.910735,LOVERS_DC UCSC,,,Lovers Point - Julia Platt SMR,SMR,mpa,,,YES,CALIFORNIA,CENTRAL,Central Coast,Central Coast,Cannery Row,14.3,2007,0,0,MO745,1,,,,,,,,,,"f, ,s,u,z","f, , , ,",,,"f,c,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f,c,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,",15
Lovers Point,RCCA,,Lovers Point,,,36.6255,-121.912,Lovers Point RCCA,,,Lovers Point - Julia Platt SMR,SMR,mpa,,,YES,CALIFORNIA,CENTRAL,Central Coast,Central Coast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
LOVERS_UC,UCSC,,Lovers UC,,,36.62422,-121.909082,LOVERS_UC UCSC,,,Lovers Point - Julia Platt SMR,SMR,mpa,,,YES,CALIFORNIA,CENTRAL,Central Coast,Central Coast,Cannery Row,14,2007,0,0,MO746,1,,,,,,,,,,"f, ,s,u,z","f, , , ,",,,"f,c,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,",15
HOPKINS_DC,UCSC,,Hopkins DC,,,36.623586,-121.904196,HOPKINS_DC UCSC,,,Lovers Point - Julia Platt SMR,SMR,mpa,,,YES,CALIFORNIA,CENTRAL,Central Coast,Central Coast,Cannery Row,14,1984,0,0,MO749,1,,"f,c,s,u,","f,c,s,u,","f,c,s,u,","f, ,s,u,","f,c,s,u,z","f,c,s,u,z","f,c,s,u,","f,c,s,u,","f,c,s,u,z","f,c,s,u,z","f,c,s,u,z","f,c,s,u,z","f,c,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,",25
Hopkins,RCCA,,Hopkins,,,36.6219,-121.902,Hopkins RCCA,,,Lovers Point - Julia Platt SMR,SMR,mpa,,,YES,CALIFORNIA,CENTRAL,Central Coast,Central Coast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
HOPKINS_UC,UCSC,,Hopkins UC,,,36.621649,-121.900789,HOPKINS_UC UCSC,,,Lovers Point - Julia Platt SMR,SMR,mpa,,,YES,CALIFORNIA,CENTRAL,Central Coast,Central Coast,Cannery Row,16,1984,0,0,MO751,1,,"f,c,s,u,","f,c,s,u,","f,c,s,u,","f, ,s,u,","f,c,s,u,z","f,c,s,u,","f,c,s,u,","f,c,s,u,","f,c,s,u,z","f,c,s,u,z","f,c,s,u,","f,c,s,u,","f,c,s,u,","f, ,s,u,","f, ,s,u,","f,c,s,u,","f,c,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,",25
Aquarium,RCCA,,Aquarium,,,36.6192,-121.899,Aquarium RCCA,,,Edward F. Ricketts SMCA,SMCA,mpa,,,YES,CALIFORNIA,CENTRAL,Central Coast,Central Coast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
SPANISH_BAY_UC,UCSC,,Spanish Bay UC,,,36.618809,-121.953836,SPANISH_BAY_UC UCSC,,,Asilomar SMR,SMR,mpa,,,NO,CALIFORNIA,CENTRAL,Central Coast,Central Coast,Asilomar,19.2,2007,0,0,MO714,3,,,,,,,,,,"f, ,s,u,z","f, ,s,u,z",,,"f,c,s,u,",,,,,,,,,,,,,3
Spanish Bay,RCCA,,Spanish Bay,,,36.6183,-121.954,Spanish Bay RCCA,,,Asilomar SMR,SMR,mpa,,,YES,CALIFORNIA,CENTRAL,Central Coast,Central Coast,,,,,,,3,ETS-MLPA status changed based on conversations with RCCA,,,,,,,,,,,,,,,,,,,,,,,,,,0
